subject,sequences_ 1,sequences_ 2,sequences_ 3,sequences_ 4,sequences_ 5,sequences_ 6,sequences_ 7,sequences_ 8,sequences_ 9,sequences_10,sequences_11,sequences_12,sequences_13,sequences_14,sequences_15,sequences_16,responseLeft
1,35,38,43,30,75,31,24,45,53,59,29,25,55,68,58,60,0
1,43,83,77,55,73,71,61,44,52,34,38,64,74,61,67,48,1
1,53,62,67,32,31,52,40,32,56,31,52,52,80,50,66,63,0
1,50,42,67,28,64,51,78,55,36,50,43,80,50,36,36,30,1
1,71,32,44,49,59,39,33,61,27,33,29,56,62,34,23,44,1
1,55,62,33,37,57,46,52,78,24,34,70,40,26,53,34,55,1
1,41,44,34,46,37,44,37,80,51,38,73,70,29,66,51,59,0
1,23,18,43,49,52,32,18,53,60,52,37,50,40,49,21,70,0
1,34,58,50,63,42,74,34,53,57,28,36,51,33,62,22,42,1
1,48,63,28,44,63,58,27,34,57,26,51,29,35,47,15,25,1
1,52,32,25,72,33,34,40,50,25,55,55,61,74,37,51,64,0
1,22,55,57,50,26,30,36,26,21,29,66,40,53,45,62,53,0
1,39,59,69,60,66,39,87,65,40,36,64,56,74,59,42,38,0
1,28,74,40,40,57,47,45,33,36,50,80,54,64,68,38,51,0
1,60,43,42,40,54,37,58,80,49,51,53,67,55,96,53,71,0
1,76,59,51,40,58,67,34,42,45,61,49,42,37,15,62,48,1
1,78,60,49,44,26,49,48,67,63,55,55,35,53,31,18,33,1
1,68,67,63,37,45,31,64,49,52,28,36,55,62,46,19,50,1
1,60,64,63,47,85,40,78,57,41,66,64,77,46,36,50,42,1
1,41,59,46,90,45,56,42,53,46,67,77,64,57,39,80,78,0
1,19,33,48,53,43,24,65,39,52,38,39,81,39,41,56,58,0
1,61,53,58,46,76,32,62,38,41,25,43,64,39,51,60,27,1
1,57,81,47,60,52,55,29,56,70,40,24,53,50,40,32,39,1
1,43,56,43,62,49,89,54,43,26,53,48,32,57,32,72,46,1
1,42,41,65,52,40,57,80,71,64,54,72,67,53,70,44,90,0
1,42,49,31,32,38,41,65,75,17,26,54,34,37,40,56,23,1
1,71,35,49,62,83,57,53,68,31,41,36,50,51,40,73,63,1
1,33,30,32,59,42,60,20,49,69,46,74,53,50,31,35,37,0
1,21,40,29,32,49,64,51,52,75,46,60,46,67,30,37,54,0
1,36,55,56,61,55,67,76,27,37,62,47,38,34,60,19,55,0
1,35,57,40,17,30,51,62,47,64,50,57,62,36,78,39,40,0
1,53,70,21,54,48,41,32,57,37,72,59,74,52,44,54,77,0
1,53,40,56,79,34,35,51,63,42,50,67,42,56,21,29,36,1
1,52,48,43,65,29,25,55,59,38,25,60,24,21,36,29,62,1
1,21,52,30,50,57,20,48,37,49,34,40,24,59,69,62,54,0
1,63,88,43,65,73,69,42,72,50,46,25,51,52,78,64,62,1
1,27,43,59,66,52,63,53,31,54,18,47,44,55,36,45,19,1
1,76,74,61,45,77,57,74,41,69,38,54,75,69,35,50,46,1
1,59,23,66,47,56,53,58,30,65,46,39,16,39,33,40,29,1
1,66,45,24,50,56,21,35,32,32,52,28,65,64,69,56,48,0
1,57,51,57,55,22,51,57,80,19,48,61,37,49,26,55,55,1
1,29,21,55,40,19,48,38,56,41,81,43,29,43,52,46,49,0
1,32,82,56,51,51,55,56,42,72,73,47,62,86,70,38,68,0
1,48,43,23,44,72,34,35,63,18,47,25,53,52,26,44,18,1
1,57,37,29,22,26,40,60,30,33,47,60,35,54,68,23,54,0
1,79,56,41,77,47,44,74,50,36,38,38,59,66,64,29,56,1
1,56,38,21,16,33,40,56,31,35,26,54,35,34,69,55,60,0
1,62,28,22,35,52,39,25,47,45,49,30,69,40,72,42,46,0
1,41,47,22,17,51,43,63,34,52,61,35,45,63,19,60,50,0
1,21,40,36,46,15,51,54,55,53,49,63,32,31,38,55,72,0
1,64,61,57,73,44,44,69,29,75,32,82,67,63,55,76,71,0
1,25,50,70,53,39,58,58,67,71,68,63,42,45,69,49,83,0
1,18,52,64,28,29,41,57,37,42,48,59,52,67,54,52,18,0
1,38,45,42,15,38,54,60,62,71,41,52,61,76,69,34,44,0
1,43,50,47,50,18,57,36,18,58,64,31,54,37,37,71,48,0
1,50,67,54,85,76,40,66,66,39,56,76,26,51,69,49,58,0
1,36,57,50,46,68,19,48,35,67,73,41,38,57,33,47,68,0
1,74,58,49,38,46,59,43,21,42,35,30,51,70,29,34,18,0
1,26,52,65,44,54,75,52,39,51,25,34,34,44,61,58,26,1
1,71,61,71,29,54,47,32,50,61,28,51,33,25,38,65,29,1
1,34,38,68,65,52,25,43,43,61,45,58,74,72,31,48,54,0
1,61,15,47,43,42,60,52,33,43,61,69,78,65,43,36,51,0
1,44,40,74,49,58,50,68,79,47,34,62,71,53,51,24,44,0
1,82,36,45,52,63,74,58,53,65,62,38,39,35,32,68,42,1
1,19,70,40,45,35,34,51,26,59,62,25,44,66,58,42,32,0
1,59,46,79,70,40,42,56,69,45,71,66,40,57,28,46,38,1
1,36,58,18,45,42,62,53,55,24,27,25,20,38,57,61,42,1
1,29,79,58,39,45,48,36,45,55,72,42,73,57,36,54,74,0
1,35,63,26,57,45,48,73,46,44,50,60,47,70,82,76,47,0
1,61,70,61,36,72,61,70,33,27,47,67,30,52,49,64,48,1
1,62,32,28,69,50,41,43,34,53,56,36,29,73,49,62,69,0
1,40,41,49,32,71,51,53,79,45,65,30,47,16,49,47,31,1
1,50,71,42,39,62,23,54,33,36,39,36,24,20,59,23,55,1
1,18,51,40,56,35,61,40,58,24,58,23,29,44,19,50,29,1
1,78,37,58,59,55,50,26,53,60,84,59,81,73,58,41,48,0
1,43,78,55,80,47,55,46,47,57,48,43,78,43,28,37,48,1
1,31,55,61,26,62,68,58,39,37,25,27,59,24,51,60,34,1
1,51,33,58,41,47,77,51,67,24,50,22,38,65,55,46,52,1
1,33,37,42,37,60,55,78,48,58,74,84,58,62,49,41,43,0
1,62,30,34,47,62,30,25,54,57,55,63,58,42,21,74,58,0
1,29,52,59,29,53,54,70,51,47,70,55,82,34,64,63,64,0
1,68,57,94,69,41,60,66,51,59,29,57,48,82,59,57,39,1
1,56,39,91,49,53,62,51,47,63,46,72,73,51,60,62,97,0
1,19,44,49,57,37,55,52,16,31,26,52,60,55,65,65,47,0
1,21,40,58,33,31,58,30,52,49,50,38,49,23,63,74,51,0
1,50,67,40,63,25,43,40,70,40,58,45,77,63,55,68,79,0
1,64,58,69,88,80,53,40,64,28,79,44,55,49,62,66,55,1
1,19,41,36,66,42,26,46,45,45,53,52,17,62,61,43,66,0
1,37,31,49,24,63,55,35,24,34,47,66,56,57,23,68,56,0
1,46,69,32,58,67,75,75,65,49,74,60,35,60,26,51,50,1
1,40,61,52,72,51,77,46,34,75,55,61,42,73,51,89,68,0
1,44,83,46,47,74,61,71,72,40,63,64,51,43,69,28,62,1
1,30,33,46,63,38,58,44,70,56,56,42,25,44,21,18,37,1
1,48,47,34,26,29,66,60,25,54,70,20,46,49,56,65,58,0
1,54,43,50,40,68,39,80,34,29,57,23,22,44,54,32,60,1
1,35,49,16,53,61,37,31,46,43,35,37,82,50,60,40,58,0
1,34,49,60,31,55,62,69,72,66,39,54,82,66,82,63,69,0
1,84,77,57,73,55,36,59,66,57,39,56,61,32,41,52,81,1
1,64,31,80,69,56,63,55,45,37,51,24,41,54,74,40,60,1
1,24,50,46,57,20,25,54,30,34,25,64,42,66,46,53,52,0
1,29,31,34,62,44,19,43,62,52,43,61,50,25,37,73,66,0
1,28,46,75,49,47,70,51,49,43,58,72,46,67,87,60,68,0
1,53,71,48,55,41,53,82,37,73,40,40,51,25,32,44,58,1
1,34,59,55,66,39,45,52,82,38,51,25,31,51,74,34,55,1
1,28,50,51,68,40,74,64,41,83,74,52,76,67,49,45,57,0
1,69,27,61,36,54,32,43,55,51,32,21,65,28,33,29,36,1
1,52,65,54,59,70,25,67,55,61,45,46,29,24,49,43,67,1
1,31,78,67,54,59,46,62,46,30,44,66,51,32,64,28,48,1
1,38,55,27,28,23,64,43,58,64,44,42,32,71,63,36,65,0
1,79,81,47,40,61,57,73,45,43,38,54,36,47,78,39,71,1
1,40,39,25,60,25,41,63,27,30,65,79,48,39,45,51,37,0
1,15,61,57,37,44,43,41,35,45,66,67,34,54,50,67,33,0
1,62,69,67,56,36,46,42,32,52,25,34,34,65,32,58,42,1
1,43,53,40,31,47,56,28,75,28,31,54,34,60,16,45,35,0
1,51,33,80,47,47,60,65,49,19,39,28,33,59,60,44,59,1
1,74,62,74,45,45,79,67,40,43,37,62,49,33,54,45,78,1
1,25,55,69,65,37,55,44,42,49,57,30,49,17,25,46,49,1
1,31,54,72,55,76,44,58,57,52,48,36,36,60,20,67,41,1
1,57,18,23,46,27,50,20,41,56,50,37,56,25,31,37,68,0
1,29,74,57,57,44,36,38,57,28,21,32,40,23,51,66,48,1
1,21,51,62,54,56,58,41,70,29,66,21,33,51,39,32,59,0
1,59,33,52,69,51,48,24,58,56,36,54,47,75,76,71,70,0
1,49,53,72,80,74,54,55,37,50,42,52,36,76,42,33,63,1
1,73,43,58,31,50,64,38,65,81,83,69,67,46,45,55,58,0
1,73,60,55,55,53,44,24,67,26,47,73,39,40,53,35,32,1
1,39,39,59,35,15,57,57,44,62,70,65,52,23,50,56,61,0
1,57,79,28,59,51,46,63,47,48,58,71,57,93,71,53,51,0
1,35,26,30,61,40,65,54,64,31,38,17,64,21,46,50,34,1
1,60,30,61,52,34,56,71,38,40,74,78,64,69,42,64,51,1
1,22,40,40,57,43,58,68,28,46,38,52,53,89,49,58,55,0
1,68,43,61,45,56,39,56,81,35,24,54,54,47,37,44,71,1
1,67,39,58,44,56,85,61,60,23,58,32,47,65,61,48,56,1
1,55,76,44,73,37,66,77,54,66,46,60,45,34,31,59,72,1
1,28,76,42,46,47,47,34,53,44,61,56,80,69,71,35,42,0
1,55,47,42,68,53,51,27,73,44,64,32,40,17,58,33,41,1
1,51,29,54,47,80,38,56,50,32,30,56,58,41,61,22,34,1
1,32,43,43,47,69,74,40,63,62,69,30,74,79,54,62,65,0
1,74,82,55,54,78,48,42,63,31,58,36,48,50,62,58,81,0
1,33,49,26,55,38,53,72,39,45,48,45,67,39,70,79,43,0
1,78,55,68,58,79,48,88,54,40,76,43,69,74,55,45,37,1
1,68,58,35,60,38,34,44,31,57,77,54,68,31,59,43,64,0
1,77,66,58,47,46,34,37,62,37,31,26,34,41,56,73,53,1
1,44,75,65,28,63,64,54,67,73,46,56,41,22,54,49,30,1
1,23,49,64,55,18,44,46,40,32,80,40,66,58,50,39,49,0
1,72,69,71,43,62,36,44,52,81,37,42,30,55,40,45,37,1
1,50,15,15,44,50,52,36,32,33,28,47,52,59,47,34,72,0
1,36,59,20,53,50,48,55,28,79,55,42,44,25,57,59,57,0
1,38,66,71,63,70,49,34,41,52,40,46,72,58,30,31,39,1
1,42,59,52,72,67,86,82,57,36,52,63,74,65,45,67,35,1
1,56,29,17,50,40,21,51,39,39,42,19,45,58,67,52,50,0
1,26,30,43,15,63,45,44,27,65,65,52,31,24,42,40,41,0
1,47,56,22,59,48,34,38,22,48,59,68,19,45,50,59,61,0
1,65,31,41,35,58,26,63,56,54,82,36,54,45,71,41,61,0
1,80,50,54,53,33,56,31,43,87,65,36,54,65,46,61,68,0
1,46,26,40,52,79,49,46,34,35,33,22,26,48,27,52,61,1
1,40,59,45,47,53,65,83,41,75,47,74,67,69,76,69,35,0
1,60,39,26,16,57,35,33,29,39,28,44,43,43,48,50,77,0
1,58,38,64,55,17,58,35,49,50,62,74,57,70,26,53,56,0
1,51,53,66,35,39,22,58,39,64,38,63,44,67,37,77,50,0
1,77,60,49,43,64,60,46,83,57,41,26,47,57,46,59,74,1
1,42,66,44,33,54,63,63,28,34,21,53,52,23,44,31,59,1
1,48,36,53,54,80,43,47,31,38,43,28,44,23,37,27,73,1
1,62,39,64,38,30,47,38,68,30,50,38,23,23,35,70,29,1
1,50,62,56,56,19,40,54,24,58,73,42,52,26,72,53,62,0
1,39,42,58,46,71,39,30,68,38,35,30,26,72,36,34,39,1
1,50,76,39,46,52,74,48,38,87,45,58,55,62,54,81,57,1
1,81,55,43,35,72,48,50,62,26,58,37,65,36,60,60,31,1
1,17,29,55,29,43,27,61,35,51,32,41,50,49,45,26,76,0
1,43,76,60,68,60,51,74,88,39,45,70,44,53,41,79,59,1
1,42,25,46,63,56,63,32,39,46,38,72,47,45,41,79,65,0
1,70,65,54,27,53,69,52,36,67,57,73,35,64,84,64,58,0
1,24,32,53,20,30,61,56,29,37,33,58,77,44,31,60,52,0
1,51,82,56,30,51,43,64,55,80,75,43,42,61,75,67,57,0
1,53,55,72,63,60,54,23,55,61,72,87,47,43,79,70,68,0
1,45,64,71,46,32,73,47,55,51,54,73,61,61,81,86,48,0
1,49,60,44,34,39,17,56,30,57,67,37,57,25,66,53,56,0
1,52,22,58,59,34,24,46,43,40,61,54,52,54,25,80,59,0
1,52,51,39,39,23,70,47,62,24,52,28,22,53,32,61,32,1
1,60,36,53,39,69,51,49,79,26,43,75,50,31,44,33,43,1
1,38,19,58,39,56,55,69,48,70,36,33,27,43,17,34,28,1
1,60,63,67,31,46,32,45,72,15,64,45,45,33,39,43,53,1
1,27,44,35,24,39,70,44,34,35,80,56,41,45,58,53,39,0
1,58,67,64,52,78,35,39,53,69,80,36,67,51,66,70,76,0
1,27,25,34,25,32,55,63,48,37,71,31,44,45,41,73,43,0
1,52,74,87,63,44,53,70,56,54,39,73,67,36,60,33,47,1
1,41,19,20,31,41,65,25,31,43,38,61,69,35,31,33,55,0
1,49,27,64,52,28,65,58,52,64,48,63,64,65,47,89,40,0
1,51,43,42,38,17,29,64,19,30,71,36,42,52,34,59,54,0
1,39,42,75,37,68,56,45,38,44,68,80,54,51,80,40,58,0
1,54,52,75,47,32,47,65,35,35,50,59,51,74,79,70,73,0
1,25,53,46,55,81,55,58,43,53,63,40,61,26,31,34,37,1
1,76,40,48,50,56,31,58,74,71,36,59,78,70,80,71,53,0
1,22,38,57,52,28,58,41,59,51,53,60,46,55,84,55,33,0
2,57,39,79,33,57,42,46,48,73,82,49,59,43,58,44,71,0
2,47,70,70,58,62,35,82,54,65,65,34,26,69,40,52,47,1
2,44,39,59,24,59,63,50,26,45,27,53,16,60,30,24,34,1
2,40,63,59,80,71,59,67,33,61,64,53,65,33,53,28,63,1
2,47,59,21,50,61,35,37,25,37,61,75,65,30,61,51,39,0
2,30,24,46,28,60,21,61,31,52,45,63,63,28,30,55,33,0
2,57,43,57,77,71,65,44,84,56,59,54,60,39,76,39,29,1
2,38,63,58,68,36,37,39,66,29,48,49,57,26,16,49,50,1
2,64,78,67,69,35,64,82,66,75,76,43,63,47,31,62,51,1
2,66,55,74,73,70,37,46,74,42,64,37,62,76,57,36,49,1
2,37,30,35,28,62,64,64,47,23,19,43,46,50,28,61,21,1
2,58,46,37,35,15,53,51,58,71,39,35,72,67,56,48,46,0
2,59,67,52,43,44,27,63,69,59,57,43,21,22,52,51,39,1
2,53,34,32,28,44,27,61,16,65,47,65,25,36,45,36,54,0
2,60,26,67,42,46,54,72,63,45,45,69,59,73,59,87,76,0
2,46,75,32,67,62,34,50,64,93,65,59,49,59,77,66,51,0
2,72,30,53,78,59,45,48,55,27,75,36,54,46,56,40,32,1
2,72,34,39,40,39,30,17,47,52,50,28,69,45,61,25,59,1
2,34,57,55,60,65,65,63,28,37,51,26,45,49,34,34,73,1
2,73,58,39,62,56,43,39,32,76,88,53,55,70,45,61,48,0
2,27,55,50,33,31,56,18,46,51,64,43,66,58,27,33,50,0
2,37,41,28,42,43,69,26,62,17,42,61,63,41,45,54,65,0
2,44,68,35,61,72,34,66,46,85,67,45,82,53,44,65,68,0
2,23,28,14,48,48,33,58,52,48,27,52,57,18,56,41,53,0
2,75,59,43,52,56,70,30,69,56,63,49,57,24,18,49,44,1
2,48,49,42,57,21,17,28,37,64,44,28,49,47,26,51,67,0
2,33,56,22,39,72,51,50,51,64,57,43,52,91,49,47,55,0
2,39,68,63,62,46,29,65,70,42,77,78,65,82,79,51,51,0
2,57,74,77,64,37,57,69,41,74,55,40,52,50,23,53,53,1
2,42,67,57,16,44,49,49,32,63,64,22,68,60,41,51,61,0
2,58,83,37,54,41,55,66,74,57,59,29,40,58,35,38,70,1
2,69,60,39,49,32,62,68,66,33,35,45,24,68,56,61,31,1
2,36,27,62,53,45,59,43,16,60,60,65,44,60,36,70,31,0
2,72,48,45,46,40,66,60,27,32,30,44,74,36,48,43,23,1
2,82,62,36,54,59,57,49,35,76,73,45,75,57,89,48,57,0
2,43,69,57,27,72,47,38,44,49,57,32,62,73,76,69,70,0
2,73,49,51,36,61,71,71,36,60,66,49,76,84,42,81,56,0
2,64,95,52,63,52,51,62,74,37,41,56,68,48,49,44,82,1
2,23,48,52,77,46,64,56,48,42,27,66,52,17,52,35,52,1
2,28,48,54,26,64,45,47,26,64,15,53,63,41,52,52,39,0
2,33,36,55,48,57,61,61,22,75,44,78,59,37,72,48,51,0
2,47,82,51,86,62,51,60,52,65,41,47,48,32,82,43,58,1
2,46,65,74,56,39,42,34,32,38,22,41,22,22,61,58,47,0
2,45,19,39,57,26,48,67,51,58,72,58,21,51,61,57,60,0
2,25,65,56,36,66,51,59,31,62,57,49,29,71,68,52,74,0
2,72,45,61,67,62,52,33,76,56,49,50,73,42,33,59,23,1
2,23,54,21,25,53,53,43,49,55,65,22,32,58,58,57,54,0
2,8,26,38,51,48,46,27,44,51,46,44,63,50,27,59,18,0
2,46,39,38,56,20,44,70,28,52,67,32,58,43,77,49,40,0
2,36,25,54,61,55,54,36,22,41,50,45,68,25,69,48,70,0
2,45,55,62,39,17,27,38,38,49,41,25,57,74,54,62,51,0
2,24,34,72,59,42,55,45,36,59,64,38,65,63,40,72,31,0
2,47,70,56,75,60,64,81,37,66,77,54,49,28,63,36,49,0
2,62,60,65,62,55,87,41,39,34,58,39,43,41,33,70,66,1
2,64,55,69,67,61,27,72,56,52,80,54,50,46,44,41,30,1
2,34,67,56,56,78,67,77,71,65,61,36,31,64,72,53,42,1
2,78,52,42,51,64,30,69,44,67,61,98,46,67,60,60,59,0
2,56,57,57,68,69,34,86,60,55,47,44,53,58,40,75,24,1
2,50,32,61,81,56,49,72,61,59,34,40,71,59,40,32,37,1
2,70,50,47,38,70,72,80,70,67,51,38,47,79,43,53,38,1
2,47,29,73,35,41,44,28,23,57,48,29,44,27,50,71,48,0
2,63,48,23,17,44,37,22,33,49,34,68,45,35,66,45,22,0
2,58,39,65,84,46,47,65,75,51,58,42,20,41,74,54,54,1
2,31,34,50,43,28,65,59,19,18,16,46,46,26,40,46,52,1
2,50,30,64,61,25,35,62,40,60,47,74,43,54,77,57,36,0
2,74,37,33,57,56,44,66,45,36,38,62,66,25,30,35,37,1
2,50,80,65,75,48,38,44,49,36,63,48,20,46,45,55,62,1
2,60,46,28,30,49,75,58,46,59,29,67,47,82,68,54,51,0
2,59,48,27,41,23,67,45,59,72,33,48,46,70,69,63,52,0
2,29,42,31,26,41,40,72,41,67,51,57,33,36,59,64,27,0
2,40,55,37,68,84,44,53,57,46,75,83,54,78,74,45,64,0
2,74,52,49,30,43,46,69,53,76,75,32,71,64,61,53,65,0
2,46,54,27,57,29,38,63,25,60,39,54,43,43,88,53,42,0
2,50,40,63,48,66,65,50,87,35,41,34,78,62,58,46,37,1
2,74,64,54,73,62,40,59,31,30,69,64,62,70,36,43,53,1
2,51,51,27,33,29,59,68,63,73,81,51,41,64,56,35,66,0
2,75,63,54,57,72,26,48,43,46,57,45,56,59,28,54,15,1
2,80,44,72,58,68,63,33,69,39,45,29,78,52,51,59,50,1
2,72,71,73,48,78,56,35,63,60,44,29,61,69,34,69,52,1
2,60,36,17,34,41,38,57,28,45,68,49,51,35,41,71,30,0
2,41,60,32,29,30,43,64,23,32,51,57,46,41,57,37,77,0
2,62,53,46,81,38,51,28,47,47,43,26,22,47,24,37,66,1
2,68,35,43,42,63,41,62,27,57,54,35,25,22,46,51,22,1
2,46,68,83,55,55,75,34,58,58,36,27,45,56,61,73,39,1
2,33,44,55,17,26,18,44,50,26,26,54,43,39,70,49,58,0
2,53,31,61,48,53,48,81,53,57,68,76,82,34,52,69,67,0
2,59,69,57,51,74,32,76,70,53,67,68,77,66,49,29,55,0
2,36,43,20,65,23,34,54,47,43,58,77,46,54,42,29,60,0
2,66,31,32,68,38,45,37,48,10,50,41,57,50,42,35,51,1
2,55,30,38,66,51,27,41,60,48,62,51,41,42,86,59,69,0
2,60,68,44,30,46,25,28,49,58,35,59,38,76,37,69,50,0
2,58,36,73,50,47,80,68,62,26,51,56,47,31,58,57,68,1
2,48,63,26,18,37,47,29,34,43,56,58,65,26,48,28,60,0
2,26,56,57,44,66,59,59,30,35,36,29,51,60,25,60,29,1
2,40,30,21,47,58,58,34,56,41,24,66,53,61,68,68,43,0
2,65,30,40,62,54,47,43,19,54,59,53,68,60,81,37,39,0
2,61,46,76,43,76,67,75,81,52,79,71,30,51,59,56,45,1
2,55,36,21,19,47,32,58,49,41,62,28,59,35,76,41,50,0
2,70,26,41,68,60,49,61,52,47,44,29,55,58,63,69,32,1
2,61,23,54,43,55,47,24,31,49,62,61,28,58,39,74,42,0
2,26,51,45,63,38,54,23,62,28,27,38,25,20,48,62,42,1
2,29,37,75,47,33,41,49,31,70,42,57,56,66,56,46,20,0
2,41,34,26,8,41,46,46,53,78,36,50,29,46,44,38,41,0
2,71,67,32,73,36,52,68,53,38,57,39,32,26,70,62,45,1
2,68,56,50,38,25,62,43,40,50,63,76,44,43,42,67,80,0
2,33,48,50,26,58,70,34,46,60,34,38,63,70,62,42,68,0
2,26,40,37,24,71,45,34,38,34,54,31,74,65,56,42,39,0
2,43,45,54,46,59,89,55,38,65,48,57,21,54,30,28,43,1
2,58,20,61,32,32,36,17,34,77,51,26,39,36,53,44,37,0
2,71,54,78,45,46,57,73,40,45,46,73,56,51,42,19,61,1
2,32,55,44,71,82,61,59,60,74,51,25,61,41,32,58,50,1
2,43,44,31,60,71,43,73,36,84,39,68,63,44,55,64,66,0
2,86,69,48,77,77,60,42,55,56,65,60,61,49,23,63,71,1
2,52,56,21,43,21,32,40,55,42,64,74,42,58,39,34,39,0
2,42,60,52,45,23,59,69,66,21,35,41,62,32,32,64,47,1
2,71,57,39,69,41,71,50,32,20,62,61,49,54,30,39,33,1
2,59,61,27,43,22,51,22,46,34,72,45,71,41,50,41,56,0
2,43,73,41,70,56,31,49,59,57,74,73,69,69,66,69,28,0
2,55,46,47,66,30,50,38,79,69,51,65,32,75,73,76,49,0
2,36,54,20,34,68,60,46,34,50,42,37,74,60,40,76,53,0
2,63,20,38,35,42,51,52,27,34,46,34,62,73,54,63,34,0
2,28,22,42,70,38,24,34,39,59,73,34,49,32,36,55,50,0
2,32,52,27,56,50,39,43,74,57,58,41,58,61,84,42,44,0
2,55,60,56,20,45,41,60,64,44,56,70,68,63,74,78,39,0
2,64,43,55,66,27,57,44,68,50,36,54,30,33,72,40,27,1
2,33,64,53,28,60,56,41,68,57,44,58,64,64,45,87,72,0
2,46,84,55,48,56,61,78,38,36,71,41,58,35,74,40,44,1
2,24,55,35,43,60,48,19,59,64,49,43,79,46,62,42,34,0
2,44,31,34,63,41,73,52,63,56,43,28,33,38,58,30,71,1
2,51,50,32,59,19,44,65,48,55,82,58,65,50,30,60,45,0
2,56,67,32,67,43,46,25,56,30,22,29,40,25,58,58,43,1
2,27,54,38,37,37,54,69,64,87,61,41,53,47,66,57,39,0
2,60,34,59,54,82,37,61,53,54,71,56,90,71,49,72,49,0
2,32,46,67,35,47,73,54,48,69,43,59,68,67,45,48,86,0
2,52,30,30,44,65,47,50,68,55,46,73,70,75,57,33,47,0
2,87,61,42,36,55,65,49,50,44,27,49,42,73,52,24,56,1
2,59,30,32,72,59,41,42,52,71,51,41,40,52,67,78,68,0
2,68,70,63,56,33,63,33,73,34,27,43,57,65,31,58,54,1
2,62,68,36,23,62,55,63,55,33,61,46,40,66,74,54,74,0
2,73,56,38,77,38,61,60,60,55,47,36,43,81,39,28,45,1
2,59,62,44,35,31,71,70,57,28,42,73,48,51,38,27,33,1
2,46,43,31,57,44,67,74,58,87,49,61,60,69,47,84,48,0
